Comment,Designator,Footprint,JLCPCB Part#
1uF,"C1, C2",Capacitor_SMD:C_0805_2012Metric,C28323
100n,"C3, C4, C5, C6, C7",Capacitor_SMD:C_0603_1608Metric,C14663
27p,"C8, C9",Capacitor_SMD:C_0402_1005Metric,C1557
RED,D2,LED_SMD:LED_0805_2012Metric,C84256
YELLOW,D3,LED_SMD:LED_0805_2012Metric,C2296
Conn_02x05_Odd_Even,J3,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD,C2881910
1k5,"R1, R2, R4",Resistor_SMD:R_0805_2012Metric,C4310
47,R3,Resistor_SMD:R_0402_1005Metric,C25118
51k,R5,Resistor_SMD:R_0805_2012Metric,C17737
180,R6,Resistor_SMD:R_1206_3216Metric,C17924
STM32F103C8T6,U1,Package_QFP:LQFP-48_7x7mm_P0.5mm,C8734
XC6206PxxxMR,U2,Package_TO_SOT_SMD:SOT-23-3,C5446
8MHz 20pF,Y1,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962
