Designator,Mid X,Mid Y,Layer,Rotation
C1,54.9,-73.65,Top,-90
C2,62.2,-72.55,Top,-90
C3,92.4,-64.225,Top,-90
C4,78,-70.775,Top,-90
C5,88.075,-75.45,Top,180
C6,81.625,-60.2,Top,0
C7,78,-63.225,Top,90
C8,75.48,-64.15,Top,180
C9,75.48,-71.8,Top,180
D2,64,-78.0625,Top,90
D3,71,-59.7375,Top,-90
J3,100.45,-61.56,Top,0
R1,66.5,-78.0875,Top,90
R2,74.6,-58.5125,Top,-90
R3,78.31,-68.3,Top,0
R4,60.6,-67.3875,Top,-90
R5,96.3,-67.5125,Top,90
R6,105.9,-75,Top,-90
U1,85,-68.15,Top,270
U2,58.2375,-72.5,Top,180
Y1,75,-68,Top,90
